instrument_code,mission_name,instrument_name,before_description,llm_description
Mauna Loa,Global Oscillations Network Group,Mauna Loa,Mauna Loa (Mauna Loa) of Global Oscillations Network Group (GONG),GONG Mauna Loa solar Doppler velocity imager measuring full-disk photospheric oscillations and line-of-sight magnetic fields
Udaipur,Global Oscillations Network Group,Udaipur,Udaipur (Udaipur) of Global Oscillations Network Group (GONG),GONG Udaipur solar Doppler imager measuring full-disk photospheric velocity and magnetic field oscillations
HXECLIPSE,UCAR HAO Historical Eclipse Archive,UCAR HAO Historical Eclipse Archive,UCAR HAO Historical Eclipse Archive (HXECLIPSE) of UCAR HAO Historical Eclipse Archive (HXECLIPSE),UCAR HAO Historical Eclipse Archive eclipse image archive of historical solar eclipse observations
Hi-C,Hi-C,Hi-C,Hi-C (Hi-C) of Hi-C (Hi-C),Hi-C EUV solar imager capturing high-resolution coronal images around 193 Å
Hi-C21,Hi-C21,Hi-C21,Hi-C21 (Hi-C21) of Hi-C21 (Hi-C21),Hi-C 2.1 sounding rocket EUV imager observing the solar corona in high-resolution 172 Å images
EIS,Hinode,EUV Imaging Spectrometer,EUV Imaging Spectrometer (EIS) of Hinode (Hinode),"Hinode EIS EUV imaging spectrometer measuring solar coronal and transition region spectra, Doppler shifts, and plasma diagnostics"
SOT,Hinode,Hinode Solar Optical Telescope,Hinode Solar Optical Telescope (SOT) of Hinode (Hinode),"Hinode Solar Optical Telescope visible-light solar imager and spectropolarimeter measuring photospheric intensity, Doppler velocity, and magnetic fields"
XRT,Hinode,X-Ray Telescope,X-Ray Telescope (XRT) of Hinode (Hinode),Hinode X-Ray Telescope grazing-incidence soft X-ray imager observing the solar corona and active regions
IRIS,Interface Region Imaging Spectrograph,Interface Region Imaging Spectrograph,Interface Region Imaging Spectrograph (IRIS) of Interface Region Imaging Spectrograph (IRIS),IRIS ultraviolet imaging spectrograph measuring solar chromospheric and transition-region spectra and slit-jaw images
ISOON,Improved Solar Observing Optical Network,Improved Solar Observing Optical Network,Improved Solar Observing Optical Network (ISOON) of Improved Solar Observing Optical Network (ISOON),ISOON H-alpha solar telescope imaging full-disk chromospheric structure on the Improved Solar Observing Optical Network
512-channel magnetograph,Kitt Peak Vacuum Tower Telescope,512-channel magnetograph,512-channel magnetograph (512-channel magnetograph) of Kitt Peak Vacuum Tower Telescope (KPVT),Kitt Peak Vacuum Tower Telescope 512-channel magnetograph measuring photospheric line-of-sight magnetic fields
spectromagnetograph,Kitt Peak Vacuum Tower Telescope,spectromagnetograph,spectromagnetograph (spectromagnetograph) of Kitt Peak Vacuum Tower Telescope (KPVT),Kitt Peak Vacuum Tower Telescope spectromagnetograph measuring solar photospheric magnetic fields and line-of-sight velocities
CAII,"Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria",Kanzelhöhe Ca II k Instrument,"Kanzelhöhe Ca II k Instrument (CAII) of Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria (KSO)",Kanzelhöhe Solar Observatory Ca II K spectroheliograph imaging the solar chromosphere in the Ca II K line
FILM,"Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria",Kanzelhöhe Hα Film Camera,"Kanzelhöhe Hα Film Camera (FILM) of Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria (KSO)",Kanzelhöhe Solar Observatory Hα film camera imaging the solar chromosphere in hydrogen-alpha
HA2,"Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria",Kanzelhöhe Hα Patrol Instrument,"Kanzelhöhe Hα Patrol Instrument (HA2) of Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria (KSO)",Kanzelhöhe Solar Observatory Hα patrol telescope imaging the full-disk solar chromosphere in hydrogen alpha
KPDC,"Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria",Kanzelhöhe Photosphere Digital Camera,"Kanzelhöhe Photosphere Digital Camera (KPDC) of Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria (KSO)",Kanzelhöhe Solar Observatory Photosphere Digital Camera white-light solar imager observing the photosphere
PHOKA,"Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria",Kanzelhöhe Photoheliograph,"Kanzelhöhe Photoheliograph (PHOKA) of Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria (KSO)",Kanzelhöhe Solar Observatory photoheliograph imaging the solar photosphere in white light
TM-1001,"Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria",Kanzelhöhe Hα Pulnix TM-1001 Camera,"Kanzelhöhe Hα Pulnix TM-1001 Camera (TM-1001) of Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria (KSO)",Kanzelhöhe Solar Observatory Hα Pulnix TM-1001 camera imaging the solar chromosphere in hydrogen-alpha
TM-1010,"Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria",Kanzelhöhe Hα Pulnix TM-1010 Camera,"Kanzelhöhe Hα Pulnix TM-1010 Camera (TM-1010) of Kanzelhöhe Solar Observatory, Karl-Franzens-Universität, Graz, Austria (KSO)",Kanzelhöhe Solar Observatory Hα Pulnix TM-1010 camera imaging the solar chromosphere in H-alpha
MEES,Mees CCD Imaging Spectrograph,"Mees Solar Observatory Imaging Spectrograph on Haleakala, Maui","Mees Solar Observatory Imaging Spectrograph on Haleakala, Maui (MEES) of Mees CCD Imaging Spectrograph (MCCD)",Mees CCD Imaging Spectrograph solar imaging spectrograph measuring chromospheric and photospheric spectral line profiles at Haleakala
X123,Miniature X-Ray Solar Spectrometer Cubesat #1,X123 SXR Spectometer,X123 SXR Spectometer (X123) of Miniature X-Ray Solar Spectrometer Cubesat #1 (MINXSS1),MinXSS-1 X123 silicon drift detector soft X-ray spectrometer measuring solar X-ray spectral irradiance
K-Cor,Mauna Loa Solar Observatory,K-Cor,K-Cor (K-Cor) of Mauna Loa Solar Observatory (MLSO),Mauna Loa Solar Observatory K-Cor white-light coronagraph imaging the low solar corona and polarized brightness
chp,Mauna Loa Solar Observatory,chp,chp (chp) of Mauna Loa Solar Observatory (MLSO),Mauna Loa Solar Observatory CHIP He I 10830 Å coronagraph/polarimeter imaging coronal holes and chromospheric magnetic structures
dpm,Mauna Loa Solar Observatory,dpm,dpm (dpm) of Mauna Loa Solar Observatory (MLSO),Mauna Loa Solar Observatory DPM Doppler photometer measuring line-of-sight solar velocity and magnetic field variations
mk4,Mauna Loa Solar Observatory,mk4,mk4 (mk4) of Mauna Loa Solar Observatory (MLSO),Mauna Loa Solar Observatory Mk4 K-coronameter coronagraph imaging the white-light solar corona from about 1.1 to 2.8 solar radii
solar fts spectrometer,McMath,solar fts spectrometer,solar fts spectrometer (solar fts spectrometer) of McMath (McMath),McMath solar FTS Fourier transform spectrometer measuring high-resolution solar spectra
60-ft SHG,MtWilson,60-ft SHG,60-ft SHG (60-ft SHG) of MtWilson (MtWilson),Mt Wilson 60-ft SHG spectroheliograph imaging the solar chromosphere in H-alpha and Ca II K
BE-Continuum,"Osservatorio Astrofisico di Catania, Via S.Sofia 78, 95123 Catania ITALY",BE-Continuum,"BE-Continuum (BE-Continuum) of Osservatorio Astrofisico di Catania, Via S.Sofia 78, 95123 Catania ITALY (OACT)",OACT BE-Continuum solar telescope imaging the photospheric continuum near the Hα line
BE-Halpha,"Osservatorio Astrofisico di Catania, Via S.Sofia 78, 95123 Catania ITALY",BE-Halpha,"BE-Halpha (BE-Halpha) of Osservatorio Astrofisico di Catania, Via S.Sofia 78, 95123 Catania ITALY (OACT)",Catania Astrophysical Observatory BE-Halpha H-alpha solar telescope imaging chromospheric prominences and filaments
Cook_Refractor,"Osservatorio Astrofisico di Catania, Via S.Sofia 78, 95123 Catania ITALY",Cook_Refractor,"Cook_Refractor (Cook_Refractor) of Osservatorio Astrofisico di Catania, Via S.Sofia 78, 95123 Catania ITALY (OACT)",Osservatorio Astrofisico di Catania Cook refracting telescope for optical solar observations
Meudon Spectroheliograph,"Département d'Astronomie Solaire de l'Observatoire de Paris, Paris, France",Meudon Spectroheliograph,"Meudon Spectroheliograph (Meudon Spectroheliograph) of Département d'Astronomie Solaire de l'Observatoire de Paris, Paris, France (OBSPM)",Meudon Spectroheliograph solar spectroheliograph imaging the full-disk Sun in selected chromospheric and photospheric lines at Observatoire de Paris
CLIMSO,"Pic-du-Midi, France",Christian Latouche IMageur SOlaire,"Christian Latouche IMageur SOlaire (CLIMSO) of Pic-du-Midi, France (OMP)",Pic-du-Midi Christian Latouche IMageur SOlaire white-light solar imager observing the photosphere and sunspots
OVSA,Owens Valley Radio Observatory,Owens Valley Solar Array,Owens Valley Solar Array (OVSA) of Owens Valley Radio Observatory (OVRO),Owens Valley Radio Observatory Owens Valley Solar Array radio interferometer measuring solar microwave emission and imaging the radio Sun
LYRA,PRoject for Onboard Autonomy,LYman alpha RAdiometer,LYman alpha RAdiometer (LYRA) of PRoject for Onboard Autonomy (PROBA2),PROBA LYRA solar UV radiometer measuring solar irradiance in the Lyman-alpha and EUV bands
SWAP,PRoject for Onboard Autonomy,Sun Watcher using Active pixel system detector and image Processing,Sun Watcher using Active pixel system detector and image Processing (SWAP) of PRoject for Onboard Autonomy (PROBA2),PROBA SWAP EUV solar imager observing the low solar corona at 174 Å
WISPR,Parker Solar Probe,Wide-Field Imager for Solar Probe Plus,Wide-Field Imager for Solar Probe Plus (WISPR) of Parker Solar Probe (PSP),Parker Solar Probe WISPR wide-field white-light heliospheric imager observing the solar corona and inner heliosphere
RHESSI,Reuven Ramaty High Energy Solar Spectroscopic Imager,Reuven Ramaty High Energy Solar Spectroscopic Imager,Reuven Ramaty High Energy Solar Spectroscopic Imager (RHESSI) of Reuven Ramaty High Energy Solar Spectroscopic Imager (RHESSI),RHESSI rotating modulation collimator hard X-ray and gamma-ray imager/spectrometer measuring solar flare high-energy emission
SUTRI,SATech-01,The Solar Upper Transition Region Imager,The Solar Upper Transition Region Imager (SUTRI) of SATech-01 (SATech-01),SATech-01 Solar Upper Transition Region Imager ultraviolet solar imager observing the upper chromosphere and transition region
AIA,Solar Dynamics Observatory,Atmospheric Imaging Assembly,Atmospheric Imaging Assembly (AIA) of Solar Dynamics Observatory (SDO),SDO AIA EUV imager capturing full-disk solar images in multiple ultraviolet and extreme-ultraviolet passbands
EVE,Solar Dynamics Observatory,Extreme Ultraviolet Variability Experiment,Extreme Ultraviolet Variability Experiment (EVE) of Solar Dynamics Observatory (SDO),SDO EVE EUV spectrograph measuring solar extreme-ultraviolet irradiance variability
HMI,Solar Dynamics Observatory,Helioseismic and Magnetic Imager,Helioseismic and Magnetic Imager (HMI) of Solar Dynamics Observatory (SDO),SDO Helioseismic and Magnetic Imager vector magnetograph and Doppler imager measuring full-disk photospheric magnetic fields and line-of-sight velocities
T1-HALPHA,Solar Flare Telescope,SFT T1 Ha Fulldisk,SFT T1 Ha Fulldisk (T1-HALPHA) of Solar Flare Telescope (SFT),Solar Flare Telescope T1 full-disk H-alpha solar imager measuring chromospheric flare and filament morphology
cp,Solar Maximum Mission,cp,cp (cp) of Solar Maximum Mission (SMM),Solar Maximum Mission CP coronagraph/polarimeter imaging the white-light solar corona and measuring coronal polarization
EUI,Solar Orbiter,Extreme Ultravoilet Imager,Extreme Ultravoilet Imager (EUI) of Solar Orbiter (SO),Solar Orbiter EUI extreme ultraviolet imager capturing high-resolution images of the solar atmosphere and corona
SPICE,Solar Orbiter,Spectral Imaging of the Coronal Environment,Spectral Imaging of the Coronal Environment (SPICE) of Solar Orbiter (SO),Solar Orbiter SPICE EUV imaging spectrograph measuring coronal and transition-region spectra and plasma diagnostics
SoloHI,Solar Orbiter,SoloHI,SoloHI (SoloHI) of Solar Orbiter (SO),Solar Orbiter SoloHI white-light heliospheric imager measuring Thomson-scattered sunlight from solar wind and coronal mass ejections
CDS,Solar and Heliospheric Observatory,Coronal Diagnostic Spectrometer,Coronal Diagnostic Spectrometer (CDS) of Solar and Heliospheric Observatory (SOHO),"SOHO Coronal Diagnostic Spectrometer EUV spectrometer measuring coronal plasma emission lines, densities, temperatures, and flows"
CELIAS,Solar and Heliospheric Observatory,"Charge, Element, and Isotope Analysis System","Charge, Element, and Isotope Analysis System (CELIAS) of Solar and Heliospheric Observatory (SOHO)","SOHO CELIAS time-of-flight mass spectrometer measuring solar wind ion charge states, elemental abundances, and isotopic composition"
COSTEP,Solar and Heliospheric Observatory,Comprehensive Suprathermal and Energetic Particle Analyzer,Comprehensive Suprathermal and Energetic Particle Analyzer (COSTEP) of Solar and Heliospheric Observatory (SOHO),SOHO COSTEP suprathermal and energetic particle analyzer measuring ions and electrons in the heliosphere
EIT,Solar and Heliospheric Observatory,Extreme ultraviolet Imaging Telescope,Extreme ultraviolet Imaging Telescope (EIT) of Solar and Heliospheric Observatory (SOHO),SOHO EIT extreme ultraviolet imager providing full-disk solar corona images in four EUV bandpasses
ERNE,Solar and Heliospheric Observatory,Energetic and Relativistic Nuclei and Electron experiment,Energetic and Relativistic Nuclei and Electron experiment (ERNE) of Solar and Heliospheric Observatory (SOHO),SOHO ERNE energetic particle telescope measuring solar energetic nuclei and relativistic electrons
GOLF,Solar and Heliospheric Observatory,Global Oscillations at Low Frequencies,Global Oscillations at Low Frequencies (GOLF) of Solar and Heliospheric Observatory (SOHO),SOHO GOLF resonant scattering spectrophotometer measuring low-degree solar Doppler velocity oscillations
LASCO,Solar and Heliospheric Observatory,Large Angle and Spectrometric Coronagraph,Large Angle and Spectrometric Coronagraph (LASCO) of Solar and Heliospheric Observatory (SOHO),SOHO LASCO white-light coronagraph imaging the solar corona from about 1.1 to 32 solar radii
MDI,Solar and Heliospheric Observatory,Michelson Doppler Imager,Michelson Doppler Imager (MDI) of Solar and Heliospheric Observatory (SOHO),"SOHO Michelson Doppler Imager Doppler imager measuring photospheric velocity, line-of-sight magnetic field, and continuum intensity"
SUMER,Solar and Heliospheric Observatory,Solar Ultraviolet Measurements of Emitted Radiation,Solar Ultraviolet Measurements of Emitted Radiation (SUMER) of Solar and Heliospheric Observatory (SOHO),"SOHO SUMER ultraviolet spectrometer measuring solar chromospheric, transition-region, and coronal emission lines"
SWAN,Solar and Heliospheric Observatory,Solar Wind Anisotropies,Solar Wind Anisotropies (SWAN) of Solar and Heliospheric Observatory (SOHO),SOHO SWAN Lyman-alpha photometer imaging interplanetary hydrogen and solar wind anisotropies
UVCS,Solar and Heliospheric Observatory,Ultraviolet Coronagraph Spectrometer,Ultraviolet Coronagraph Spectrometer (UVCS) of Solar and Heliospheric Observatory (SOHO),SOHO UVCS ultraviolet coronagraph spectrometer measuring extended solar corona ultraviolet emission lines
VIRGO,Solar and Heliospheric Observatory,Variability of Solar Irradiance and Gravity Oscillations,Variability of Solar Irradiance and Gravity Oscillations (VIRGO) of Solar and Heliospheric Observatory (SOHO),SOHO VIRGO radiometers and photometers measuring total and spectral solar irradiance and global solar oscillations
ISS,Synoptic Optical Long-term Investigations of the Sun,ISS,ISS (ISS) of Synoptic Optical Long-term Investigations of the Sun (SOLIS),SOLIS ISS spectrograph measuring full-disk solar vector magnetic fields and chromospheric line profiles
vsm,Synoptic Optical Long-term Investigations of the Sun,vsm,vsm (vsm) of Synoptic Optical Long-term Investigations of the Sun (SOLIS),SOLIS VSM vector spectromagnetograph measuring full-disk photospheric magnetic fields and line-of-sight velocities
